segment_type,segment_value,rank,skill_canonical,skill_category,job_count,demand_score,demand_rank,senior_mentions,mid_mentions,entry_mentions,seniority_skew,gap_signal_score,is_emerging_gap
global,all,1,Data Engineering,data_ml_ai,1711.0,0.3986,,,,,,,
global,all,2,iOS Development,mobile,953.0,0.222,,,,,,,
global,all,3,Event-Driven Architecture,tools_practices,589.0,0.1372,,,,,,,
global,all,4,Service Mesh,tools_practices,569.0,0.1325,,,,,,,
global,all,5,API Design,tools_practices,541.0,0.126,,,,,,,
global,all,6,Statistical Analysis,data_ml_ai,438.0,0.102,,,,,,,
global,all,7,Design Patterns,tools_practices,323.0,0.0752,,,,,,,
global,all,8,Cross-Platform Development,mobile,322.0,0.075,,,,,,,
global,all,9,Recommendation Systems,data_ml_ai,301.0,0.0701,,,,,,,
global,all,10,Cassandra,databases,221.0,0.0515,,,,,,,
global,all,11,Digital Forensics,cybersecurity,195.0,0.0454,,,,,,,
global,all,12,Domain-Driven Design,tools_practices,118.0,0.0275,,,,,,,
global,all,13,Adobe XD,tools_practices,114.0,0.0266,,,,,,,
global,all,14,GDPR Compliance,cybersecurity,80.0,0.0186,,,,,,,
global,all,15,Java,programming_languages,75.0,0.0175,,,,,,,
global,all,16,SQL,programming_languages,73.0,0.017,,,,,,,
global,all,17,Python,programming_languages,69.0,0.0161,,,,,,,
global,all,18,Application Security,cybersecurity,67.0,0.0156,,,,,,,
global,all,19,Power BI,data_ml_ai,65.0,0.0151,,,,,,,
global,all,20,JavaScript,programming_languages,63.0,0.0147,,,,,,,
role,Backend,1,iOS Development,mobile,32.0,0.8,,,,,,,
role,Backend,2,Data Engineering,data_ml_ai,20.0,0.5,,,,,,,
role,Backend,3,API Design,tools_practices,16.0,0.4,,,,,,,
role,Backend,4,Git,tools_practices,15.0,0.375,,,,,,,
role,Backend,5,REST API,frameworks_libraries,13.0,0.325,,,,,,,
role,Backend,6,Java,programming_languages,12.0,0.3,,,,,,,
role,Backend,7,.NET,frameworks_libraries,12.0,0.3,,,,,,,
role,Backend,8,Python,programming_languages,10.0,0.25,,,,,,,
role,Backend,9,ASP.NET,frameworks_libraries,9.0,0.225,,,,,,,
role,Backend,10,SQL,programming_languages,8.0,0.2,,,,,,,
role,Cybersecurity,1,Data Engineering,data_ml_ai,7.0,1.0,,,,,,,
role,Cybersecurity,2,iOS Development,mobile,7.0,1.0,,,,,,,
role,Cybersecurity,3,Application Security,cybersecurity,6.0,0.8571,,,,,,,
role,Cybersecurity,4,Network Security,cybersecurity,4.0,0.5714,,,,,,,
role,Cybersecurity,5,Firewalls,cybersecurity,3.0,0.4286,,,,,,,
role,Cybersecurity,6,Recommendation Systems,data_ml_ai,3.0,0.4286,,,,,,,
role,Cybersecurity,7,Cybersecurity,cybersecurity,2.0,0.2857,,,,,,,
role,Cybersecurity,8,Cassandra,databases,1.0,0.1429,,,,,,,
role,Cybersecurity,9,Design Patterns,tools_practices,1.0,0.1429,,,,,,,
