job_id,skill_canonical,skill_category,role_category,extraction_source,confidence
bk001,Python,programming_languages,Backend,wuzzuf_tag,1.0
bk001,Django,frameworks_libraries,Backend,wuzzuf_tag,1.0
bk001,PostgreSQL,databases,Backend,wuzzuf_tag,1.0
bk001,Docker,devops_cloud,Backend,wuzzuf_tag,1.0
bk001,REST API,frameworks_libraries,Backend,wuzzuf_tag,1.0
bk001,Git,tools_practices,Backend,wuzzuf_tag,1.0
bk001,Redis,databases,Backend,wuzzuf_tag,1.0
bk001,API Design,tools_practices,Backend,fuzzy_match,0.9
bk002,Python,programming_languages,Backend,wuzzuf_tag,1.0
bk002,FastAPI,frameworks_libraries,Backend,wuzzuf_tag,1.0
bk002,PostgreSQL,databases,Backend,wuzzuf_tag,1.0
bk002,Docker,devops_cloud,Backend,wuzzuf_tag,1.0
bk002,REST API,frameworks_libraries,Backend,wuzzuf_tag,1.0
bk002,AWS,devops_cloud,Backend,wuzzuf_tag,1.0
bk002,Redis,databases,Backend,wuzzuf_tag,1.0
bk002,API Design,tools_practices,Backend,fuzzy_match,0.9
bk003,Python,programming_languages,Backend,wuzzuf_tag,1.0
bk003,Django,frameworks_libraries,Backend,wuzzuf_tag,1.0
bk003,MySQL,databases,Backend,wuzzuf_tag,1.0
bk003,Git,tools_practices,Backend,wuzzuf_tag,1.0
bk003,REST API,frameworks_libraries,Backend,wuzzuf_tag,1.0
bk003,API Design,tools_practices,Backend,fuzzy_match,0.9
bk004,Python,programming_languages,Other Tech,wuzzuf_tag,1.0
bk004,Django,frameworks_libraries,Other Tech,wuzzuf_tag,1.0
bk004,PostgreSQL,databases,Other Tech,wuzzuf_tag,1.0
bk004,REST API,frameworks_libraries,Other Tech,wuzzuf_tag,1.0
bk004,Docker,devops_cloud,Other Tech,wuzzuf_tag,1.0
bk004,Git,tools_practices,Other Tech,wuzzuf_tag,1.0
bk004,AWS,devops_cloud,Other Tech,wuzzuf_tag,1.0
bk004,API Design,tools_practices,Other Tech,fuzzy_match,0.9
bk005,Python,programming_languages,Backend,wuzzuf_tag,1.0
bk005,Flask,frameworks_libraries,Backend,wuzzuf_tag,1.0
bk005,MongoDB,databases,Backend,wuzzuf_tag,1.0
bk005,Redis,databases,Backend,wuzzuf_tag,1.0
bk005,Docker,devops_cloud,Backend,wuzzuf_tag,1.0
bk005,REST API,frameworks_libraries,Backend,wuzzuf_tag,1.0
bk005,Git,tools_practices,Backend,wuzzuf_tag,1.0
bk005,Data Engineering,data_ml_ai,Backend,fuzzy_match,0.9
bk005,API Design,tools_practices,Backend,fuzzy_match,0.9
bk006,Node.js,frameworks_libraries,Backend,wuzzuf_tag,1.0
bk006,JavaScript,programming_languages,Backend,wuzzuf_tag,1.0
bk006,TypeScript,programming_languages,Backend,wuzzuf_tag,1.0
bk006,PostgreSQL,databases,Backend,wuzzuf_tag,1.0
bk006,Docker,devops_cloud,Backend,wuzzuf_tag,1.0
bk006,REST API,frameworks_libraries,Backend,wuzzuf_tag,1.0
bk006,Git,tools_practices,Backend,wuzzuf_tag,1.0
bk006,Data Engineering,data_ml_ai,Backend,fuzzy_match,0.9
bk006,API Design,tools_practices,Backend,fuzzy_match,0.9
bk006,Java,programming_languages,Backend,fuzzy_match,0.9
bk007,PHP,programming_languages,Other Tech,wuzzuf_tag,1.0
bk007,Laravel,frameworks_libraries,Other Tech,wuzzuf_tag,1.0
bk007,MySQL,databases,Other Tech,wuzzuf_tag,1.0
bk007,Docker,devops_cloud,Other Tech,wuzzuf_tag,1.0
bk007,REST API,frameworks_libraries,Other Tech,wuzzuf_tag,1.0
bk007,Git,tools_practices,Other Tech,wuzzuf_tag,1.0
bk007,Redis,databases,Other Tech,wuzzuf_tag,1.0
bk007,API Design,tools_practices,Other Tech,fuzzy_match,0.9
bk008,Java,programming_languages,Backend,wuzzuf_tag,1.0
bk008,Spring Boot,frameworks_libraries,Backend,wuzzuf_tag,1.0
bk008,PostgreSQL,databases,Backend,wuzzuf_tag,1.0
bk008,Docker,devops_cloud,Backend,wuzzuf_tag,1.0
bk008,REST API,frameworks_libraries,Backend,wuzzuf_tag,1.0
bk008,Microservices,tools_practices,Backend,wuzzuf_tag,1.0
bk008,Git,tools_practices,Backend,wuzzuf_tag,1.0
bk008,Bootstrap,frameworks_libraries,Backend,fuzzy_match,0.9
