job_id,job_title,job_url,company_name,location_raw,city,posted_date_raw,job_type,work_mode,experience_level,category_tags,source_category,scraped_at
bk001,Senior Python Backend Developer,https://wuzzuf.net/jobs/p/bk001-mock-egypt,Breadfast,"Cairo, Egypt",Cairo,2 days ago,Full Time,Hybrid,Senior Management,"Python,Django,PostgreSQL,Docker,REST API,Git,Celery,Redis",IT-Software-Development,2026-04-15T23:25:57.487277+00:00
bk002,Python FastAPI Developer,https://wuzzuf.net/jobs/p/bk002-mock-egypt,Instabug,"Cairo, Egypt",Cairo,2 days ago,Full Time,Remote,Experienced,"Python,FastAPI,PostgreSQL,Docker,REST API,AWS,Redis",IT-Software-Development,2026-04-15T23:25:57.487277+00:00
bk003,Junior Python Developer,https://wuzzuf.net/jobs/p/bk003-mock-egypt,Flat6Labs,"Cairo, Egypt",Cairo,2 days ago,Full Time,On-site,Entry Level,"Python,Django,MySQL,Git,REST API",IT-Software-Development,2026-04-15T23:25:57.487277+00:00
bk004,Senior Django Developer,https://wuzzuf.net/jobs/p/bk004-mock-egypt,Paymob,"Cairo, Egypt",Cairo,2 days ago,Full Time,Hybrid,Senior Management,"Python,Django,PostgreSQL,REST API,Docker,Celery,Git,AWS",IT-Software-Development,2026-04-15T23:25:57.487277+00:00
bk005,Python Backend Engineer,https://wuzzuf.net/jobs/p/bk005-mock-egypt,MaxAB,"Cairo, Egypt",Cairo,2 days ago,Full Time,On-site,Experienced,"Python,Flask,MongoDB,Redis,Docker,REST API,Git",IT-Software-Development,2026-04-15T23:25:57.487277+00:00
bk006,Backend Engineer – Node.js,https://wuzzuf.net/jobs/p/bk006-mock-egypt,Vezeeta,"Cairo, Egypt",Cairo,2 days ago,Full Time,Hybrid,Experienced,"Node.js,JavaScript,TypeScript,PostgreSQL,Docker,REST API,Git",IT-Software-Development,2026-04-15T23:25:57.487277+00:00
bk007,PHP Laravel Developer,https://wuzzuf.net/jobs/p/bk007-mock-egypt,Noon,"Cairo, Egypt",Cairo,2 days ago,Full Time,On-site,Experienced,"PHP,Laravel,MySQL,Docker,REST API,Git,Redis",IT-Software-Development,2026-04-15T23:25:57.487277+00:00
bk008,Senior Java Backend Developer,https://wuzzuf.net/jobs/p/bk008-mock-egypt,Orange Egypt,"Cairo, Egypt",Cairo,2 days ago,Full Time,On-site,Senior Management,"Java,Spring Boot,PostgreSQL,Docker,REST API,Microservices,Git",IT-Software-Development,2026-04-15T23:25:57.487277+00:00
bk009,Java Spring Boot Developer,https://wuzzuf.net/jobs/p/bk009-mock-egypt,Vodafone Egypt,"Cairo, Egypt",Cairo,2 days ago,Full Time,Hybrid,Experienced,"Java,Spring Boot,MySQL,Docker,REST API,Git,Agile",IT-Software-Development,2026-04-15T23:25:57.487277+00:00
bk010,Backend Developer Python,https://wuzzuf.net/jobs/p/bk010-mock-egypt,Swvl,"Cairo, Egypt",Cairo,2 days ago,Full Time,Hybrid,Experienced,"Python,FastAPI,MongoDB,Redis,Docker,REST API,Microservices",IT-Software-Development,2026-04-15T23:25:57.487277+00:00
bk011,Junior Backend Developer,https://wuzzuf.net/jobs/p/bk011-mock-egypt,Halan,"Alexandria, Egypt",Alexandria,2 days ago,Full Time,On-site,Entry Level,"PHP,MySQL,REST API,Git",IT-Software-Development,2026-04-15T23:25:57.487277+00:00
bk012,Senior Node.js Developer,https://wuzzuf.net/jobs/p/bk012-mock-egypt,Robusta,"Cairo, Egypt",Cairo,2 days ago,Full Time,Remote,Senior Management,"Node.js,TypeScript,MongoDB,Redis,Docker,microservices,REST API,AWS",IT-Software-Development,2026-04-15T23:25:57.487277+00:00
fe001,Senior React Frontend Developer,https://wuzzuf.net/jobs/p/fe001-mock-egypt,Breadfast,"Cairo, Egypt",Cairo,2 days ago,Full Time,Hybrid,Senior Management,"React,JavaScript,TypeScript,CSS,HTML,Git,REST API,Redux",IT-Software-Development,2026-04-15T23:25:57.487277+00:00
fe002,React Developer,https://wuzzuf.net/jobs/p/fe002-mock-egypt,Paymob,"Cairo, Egypt",Cairo,2 days ago,Full Time,On-site,Experienced,"React,JavaScript,TypeScript,CSS,Git,REST API",IT-Software-Development,2026-04-15T23:25:57.487277+00:00
fe003,Angular Frontend Developer,https://wuzzuf.net/jobs/p/fe003-mock-egypt,Orange Egypt,"Cairo, Egypt",Cairo,2 days ago,Full Time,On-site,Experienced,"Angular,TypeScript,JavaScript,CSS,Git,REST API,RxJS",IT-Software-Development,2026-04-15T23:25:57.487277+00:00
fe004,Junior React Developer,https://wuzzuf.net/jobs/p/fe004-mock-egypt,Sarmady,"Cairo, Egypt",Cairo,2 days ago,Full Time,On-site,Entry Level,"React,JavaScript,CSS,HTML,Git",IT-Software-Development,2026-04-15T23:25:57.487277+00:00
fe005,Senior Angular Developer,https://wuzzuf.net/jobs/p/fe005-mock-egypt,Vodafone Egypt,"Cairo, Egypt",Cairo,2 days ago,Full Time,Hybrid,Senior Management,"Angular,TypeScript,JavaScript,REST API,Git,Agile",IT-Software-Development,2026-04-15T23:25:57.487277+00:00
fe006,Vue.js Frontend Developer,https://wuzzuf.net/jobs/p/fe006-mock-egypt,Dsquares,"Alexandria, Egypt",Alexandria,2 days ago,Full Time,On-site,Experienced,"Vue.js,JavaScript,TypeScript,CSS,REST API,Git",IT-Software-Development,2026-04-15T23:25:57.487277+00:00
fe007,Frontend Engineer React Next.js,https://wuzzuf.net/jobs/p/fe007-mock-egypt,Instabug,"Cairo, Egypt",Cairo,2 days ago,Full Time,Remote,Experienced,"React,Next.js,TypeScript,JavaScript,CSS,Git,REST API",IT-Software-Development,2026-04-15T23:25:57.487277+00:00
fe008,React Native & Web Developer,https://wuzzuf.net/jobs/p/fe008-mock-egypt,Vezeeta,"Cairo, Egypt",Cairo,2 days ago,Full Time,Hybrid,Experienced,"React,React Native,JavaScript,TypeScript,REST API,Git",IT-Software-Development,2026-04-15T23:25:57.487277+00:00
fe009,Junior Angular Developer,https://wuzzuf.net/jobs/p/fe009-mock-egypt,Xceed,"Cairo, Egypt",Cairo,2 days ago,Full Time,On-site,Entry Level,"Angular,JavaScript,TypeScript,CSS,Git",IT-Software-Development,2026-04-15T23:25:57.487277+00:00
fe010,Senior Frontend Developer Next.js,https://wuzzuf.net/jobs/p/fe010-mock-egypt,Lean,"Cairo, Egypt",Cairo,2 days ago,Full Time,Remote,Senior Management,"Next.js,React,TypeScript,JavaScript,Tailwind CSS,Git",IT-Software-Development,2026-04-15T23:25:57.487277+00:00
de001,Senior Data Engineer,https://wuzzuf.net/jobs/p/de001-mock-egypt,Careem,"Cairo, Egypt",Cairo,2 days ago,Full Time,Hybrid,Senior Management,"Python,Apache Spark,Airflow,PostgreSQL,AWS,Docker,Kafka,dbt",IT-Software-Development,2026-04-15T23:25:57.487277+00:00
